t,avg_biomass,coop_rate,avg_payoff
0,0.9389559999999999,0.0,112.44
1,0.8334304171424703,0.0,130.96
2,0.7539580368833564,0.0,144.24
3,0.6850492111817454,0.0,162.32
4,0.6427663739391114,0.0,209.36
5,0.6044014125081845,0.0,254.52
6,0.5524991202097056,0.0,269.76
7,0.5066442351057464,0.0,284.16
8,0.4725479455824425,0.0,319.44
9,0.4480966430114364,0.0,366.48
10,0.41859891652957726,0.0,385.6
11,0.38620940945703985,0.0,399.24
12,0.3623621018575766,0.0,425.88
13,0.34501783311815837,0.0,472.92
14,0.3236638378679725,0.0,489.88
15,0.2999516580582278,0.0,505.56
16,0.28618114558321794,0.0,534.4
17,0.27358346203919093,0.0,572.84
18,0.2572987219892959,0.0,588.56
19,0.24249278306826177,0.0,604.92
20,0.23195771676651827,0.0,628.96
21,0.22228879218995554,0.0,653.12
22,0.209535920796276,0.0,669.28
23,0.19789982169685408,0.0,685.96
24,0.18967976869495798,0.0,710.12
25,0.182117932177287,0.0,734.28
26,0.17197619467998987,0.0,750.96
27,0.1626973951763046,0.0,768.88
28,0.15618425293724297,0.0,793.88
29,0.1501823365793377,0.0,817.88
30,0.14201967035740393,0.0,837.0
31,0.13453573610457709,0.0,853.52
32,0.1272686977175081,0.0,876.8
33,0.12247833053936655,0.0,900.96
34,0.1160194229067478,0.0,918.88
35,0.11008531954873488,0.0,935.12
36,0.10587514340613993,0.0,959.16
37,0.10198781593322928,0.0,983.8
38,0.09669570431211669,0.0,1001.32
39,0.09182740881510201,0.0,1018.2
40,0.08838760028811529,0.0,1043.2
41,0.08520904140132673,0.0,1068.64
42,0.08084652886424212,0.0,1086.0
43,0.07682926294822186,0.0,1101.76
44,0.07400080550805314,0.0,1125.8
45,0.07138553387937566,0.0,1149.96
46,0.06777142482524078,0.0,1168.24
47,0.06444054942229929,0.0,1185.68
48,0.062102480413916764,0.0,1209.72
49,0.05993956445691526,0.0,1235.68
50,0.056933207036618194,0.0,1253.76
51,0.054160553600166104,0.0,1270.44
52,0.051440109686657444,0.0,1293.48
53,0.04964918471186357,0.0,1318.12
54,0.047201759350635454,0.0,1337.84
55,0.04494292523724004,0.0,1354.16
56,0.04272087983148645,0.0,1376.92
57,0.0412313266518968,0.0,1400.92
58,0.039230203880302954,0.0,1420.76
59,0.03738220688330864,0.0,1437.72
60,0.035560042133799485,0.0,1461.0
61,0.03431667320226298,0.0,1485.04
62,0.032674377675566066,0.0,1503.6
63,0.031157046528180292,0.0,1520.12
64,0.029657717860769123,0.0,1543.24
65,0.028616802862044526,0.0,1567.6
66,0.027264671559627328,0.0,1588.12
67,0.026014958712493437,0.0,1607.36
68,0.024777635543568804,0.0,1630.48
69,0.023904122929652723,0.0,1654.64
70,0.02278778131253526,0.0,1672.72
71,0.021755684589980794,0.0,1689.84
72,0.020961529166545107,0.0,1715.8
73,0.020226170363583675,0.0,1741.76
74,0.01928459237959933,0.0,1757.68
75,0.018413906546720777,0.0,1774.04
76,0.017744522554544635,0.0,1798.08
77,0.017124603842967438,0.0,1822.72
78,0.0163295526829437,0.0,1838.48
79,0.015594245128572395,0.0,1854.72
80,0.015029351603519564,0.0,1879.08
81,0.014506135758491027,0.0,1903.72
82,0.013834184122721051,0.0,1920.6
83,0.013212643076243888,0.0,1937.72
84,0.0127354456707477,0.0,1962.36
85,0.012293408957936892,0.0,1986.4
86,0.011725050977207944,0.0,2003.04
87,0.011199272875748258,0.0,2019.12
88,0.010795811912932784,0.0,2043.76
89,0.010422045398891577,0.0,2067.92
90,0.009940991285072328,0.0,2083.96
91,0.00949593435305009,0.0,2100.28
92,0.00915456892282104,0.0,2124.64
93,0.008838304110055206,0.0,2150.6
94,0.008430915024607783,0.0,2166.36
95,0.00805398065743879,0.0,2182.4
96,0.007764976713490854,0.0,2206.44
97,0.007497206383044193,0.0,2230.44
98,0.007152038137381694,0.0,2246.28
99,0.006832651664599327,0.0,2262.32
100,0.006587850532735411,0.0,2286.32
101,0.006361023312215511,0.0,2312.28
102,0.00606845542337812,0.0,2328.12
103,0.00579772494273578,0.0,2343.96
104,0.005590274652431502,0.0,2368.12
105,0.005398047262331729,0.0,2392.12
106,0.005149979587994282,0.0,2408.44
107,0.004920416703360034,0.0,2425.6
108,0.004744552872235421,0.0,2449.64
109,0.004581587922040702,0.0,2475.6
110,0.004371191260659733,0.0,2493.44
111,0.004176481318452639,0.0,2510.12
112,0.004027347464239851,0.0,2534.12
113,0.0038891475297162742,0.0,2558.12
114,0.0037106576474092066,0.0,2575.12
115,0.0035454698524462146,0.0,2591.16
116,0.00341896932482466,0.0,2615.8
117,0.0033017401494552555,0.0,2640.44
118,0.0031502869949578856,0.0,2659.16
119,0.0030101168738562575,0.0,2675.32
120,0.0028708078593234158,0.0,2700.6
121,0.0027714310894405734,0.0,2725.6
122,0.0026453259795874372,0.0,2746.44
123,0.00252860814353928,0.0,2766.44
124,0.0024124442893699335,0.0,2788.52
125,0.0023049319220439686,0.0,2810.8
126,0.002201573254717198,0.0,2833.56
127,0.002105899968616784,0.0,2853.56
128,0.002010433857221383,0.0,2870.44
129,0.001939012175072369,0.0,2894.44
130,0.0018695598897987484,0.0,2918.44
131,0.0017883402774338283,0.0,2938.16
132,0.0017072937834295599,0.0,2953.84
133,0.00163227598946417,0.0,2978.56
134,0.0015733543673489303,0.0,3004.0
135,0.001505489513006145,0.0,3023.72
136,0.0014376865200894067,0.0,3039.88
137,0.0013749244577014974,0.0,3060.36
138,0.0013011595845660907,0.0,3083.4
139,0.0012548925178563427,0.0,3107.44
140,0.0011991247874061888,0.0,3123.44
141,0.0011474991850001363,0.0,3139.36
142,0.0011051017546639813,0.0,3163.72
143,0.001065816399896093,0.0,3189.16
144,0.0010184595342928424,0.0,3206.32
145,0.0009746196899317955,0.0,3223.2
146,0.0009386177139006734,0.0,3247.2
147,0.0009052580866659627,0.0,3271.24
148,0.0008650411938486901,0.0,3286.92
149,0.0008278107793868011,0.0,3302.68
150,0.0007972375930571081,0.0,3326.68
151,0.000768908106726779,0.0,3350.68
152,0.0007347529878443641,0.0,3366.6
153,0.0007031340000121668,0.0,3382.84
154,0.0006771695891188295,0.0,3406.84
155,0.0006531105022103082,0.0,3430.88
156,0.0006241022517413783,0.0,3447.36
157,0.0005972478129820725,0.0,3464.24
158,0.0005751964153420399,0.0,3488.24
159,0.0005547630897231317,0.0,3512.4
160,0.0005301252322590475,0.0,3528.96
161,0.0005073165862838753,0.0,3544.8
162,0.0004885877561975881,0.0,3569.16
163,0.0004712331201604023,0.0,3593.16
164,0.00045030656968727943,0.0,3609.0
165,0.00043093361206288084,0.0,3624.72
166,0.00041502620053667514,0.0,3649.72
167,0.00040028591108522257,0.0,3673.88
168,0.00038251115489907565,0.0,3690.2
169,0.00036605594623070957,0.0,3707.32
170,0.00035254453969818696,0.0,3731.32
171,0.0003400244210400247,0.0,3755.36
172,0.0003249264267418576,0.0,3771.68
173,0.0003109492248832172,0.0,3787.36
174,0.0002994726591157313,0.0,3812.0
175,0.00028883806271477665,0.0,3837.96
176,0.00027601348676943826,0.0,3853.8
